?Date,BVMF:BBAS3,BVMF:BBDC3,BVMF:BBDC4,BVMF:BRAP4,BVMF:BRKM5,BVMF:BRML3,BVMF:CCRO3,BVMF:CESP6,BVMF:CIEL3,BVMF:CMIG4,BVMF:CPFE3,BVMF:CPLE6,BVMF:CRUZ3,BVMF:CSNA3,BVMF:CTIP3,BVMF:CYRE3,BVMF:DTEX3,BVMF:ELET3,BVMF:ELET6,BVMF:EMBR3,BVMF:ENBR3,BVMF:ESTC3,BVMF:EVEN3,BVMF:FIBR3,BVMF:GGBR4,BVMF:GOAU4,BVMF:GOLL4,BVMF:HGTX3,BVMF:HYPE3,BVMF:ITSA4,BVMF:ITUB4,BVMF:JBSS3,BVMF:LAME4,BVMF:LIGT3,BVMF:LREN3,BVMF:MRFG3,BVMF:MRVE3,BVMF:MULT3,BVMF:NATU3,BVMF:OIBR4,BVMF:PCAR4,BVMF:PDGR3,BVMF:PETR3,BVMF:PETR4,BVMF:POMO4,BVMF:RENT3,BVMF:SANB11,BVMF:SBSP3,BVMF:SUZB5,BVMF:TBLE3,BVMF:TIMP3,BVMF:USIM5,BVMF:VALE3,BVMF:VALE5,BVMF:VIVT4
2010-01-04,29.8,29.99,36.85,39.0,14.35,10.85,10.0,23.61,19.15,31.65,356.9,37.2,11.66,28.00,14.0,24.55,13.63,36.85,32.0,9.58,11.18,8.3,8.5,39.09,29.30,35.20,26.3,10.0,19.91,8.95,3214.05,9.44,12.55,26.0,40.0,19.12,13.95,32.46,36.35,16.89,65.0,7.94,41.7,36.95,3.42,18.57,1303.5,11.55,20.8,21.5,5.13,24.75,50.19,42.6,43.39
2010-01-05,30.1,30.91,37.9,39.38,14.6,10.86,10.0,24.64,19.69,31.5,365.1,38.44,12.2,28.05,14.06,24.27,13.97,37.97,33.4,9.9,11.43,8.22,8.3,39.4,29.74,35.77,26.31,9.89,20.59,9.35,3323.97,9.66,12.62,25.64,40.41,19.7,13.78,33.7,38.3,17.16,65.75,8.17,41.85,37.38,3.5,18.55,1305.7,11.41,21.0,21.45,5.21,25.62,51.54,43.75,43.41
2010-01-06,29.49,30.4,37.4,39.5,14.29,11.02,10.13,25.0,19.5,31.93,362.0,38.3,12.37,28.30,14.19,23.9,14.46,37.8,32.55,9.55,11.3,7.97,8.17,40.72,29.96,36.00,26.0,9.93,20.93,9.23,3326.45,9.59,12.23,25.1,39.05,20.88,13.73,33.86,37.77,17.3,65.5,8.0,41.19,36.8,3.52,18.9,1309.0,11.34,21.88,21.69,5.28,25.48,52.0,44.53,42.95
2010-01-07,29.44,30.19,37.0,40.38,14.4,11.48,10.45,25.24,19.4,31.25,363.5,38.4,12.3,28.35,14.25,23.81,14.83,36.95,32.09,9.58,11.4,8.3,8.05,40.29,30.10,36.21,26.1,10.28,21.85,9.13,3285.12,9.69,11.93,24.97,38.01,21.3,13.75,34.0,37.5,17.3,64.43,7.93,41.51,37.27,3.58,20.12,1302.95,11.18,21.58,21.6,5.3,25.34,52.51,44.5,43.18
2010-01-08,29.7,30.3,37.29,41.0,14.11,11.5,10.44,26.23,20.08,31.0,358.2,38.32,12.27,28.45,14.77,23.76,14.95,37.81,32.42,9.53,11.59,7.94,7.96,40.65,29.72,35.75,26.99,10.0,22.13,9.07,3287.6,9.98,12.0,24.0,38.09,22.8,13.48,33.9,36.75,17.31,65.44,7.76,41.8,37.16,3.68,19.43,1295.8,11.16,21.7,21.6,5.18,25.79,53.3,45.46,42.82
2010-01-11,29.98,30.31,37.11,41.99,15.15,11.45,10.44,25.3,19.79,31.16,365.9,38.58,12.7,29.16,14.8,23.76,15.04,39.1,33.79,9.53,11.65,8.2,7.86,39.86,29.80,36.46,28.35,10.3,22.63,9.11,3238.84,9.98,12.04,24.24,38.26,22.78,13.11,32.35,36.36,17.3,65.0,7.69,41.51,37.21,3.75,20.05,1289.75,11.33,22.0,21.6,5.23,25.68,54.6,46.01,42.61
2010-01-12,29.85,30.1,36.71,41.0,15.07,11.08,10.35,24.78,19.26,30.5,365.7,38.2,12.46,29.00,15.68,23.5,14.75,37.06,32.9,9.5,11.85,8.0,7.7,38.9,29.21,35.88,27.51,10.28,22.05,8.9,3166.12,9.72,11.87,23.89,38.2,22.08,12.97,31.64,35.16,16.86,63.87,7.65,40.98,36.59,3.66,19.3,1292.5,11.32,22.0,21.25,5.16,25.08,52.8,45.25,42.27
2010-01-13,30.0,30.4,37.21,41.67,15.1,10.96,10.55,25.59,18.98,31.08,378.0,39.36,12.45,29.02,15.9,24.29,15.62,37.5,32.59,9.9,12.15,7.96,8.09,38.61,29.60,36.30,27.69,10.3,21.28,9.0,3173.55,9.62,12.2,24.3,39.4,21.7,13.49,31.78,36.18,17.13,65.97,8.09,40.86,36.56,3.86,20.4,1295.25,11.2,22.2,21.19,5.15,25.14,54.2,46.3,42.31
2010-01-14,29.94,30.39,37.25,42.16,15.09,11.0,10.29,25.39,18.81,31.12,369.0,38.34,12.25,29.40,16.1,23.75,14.84,38.59,33.5,9.71,12.21,7.62,8.29,37.4,29.50,35.76,27.81,10.57,20.95,8.97,3181.82,9.78,12.16,24.4,39.65,22.1,13.18,31.27,35.61,16.86,66.6,8.14,40.25,36.28,3.88,21.19,1311.2,11.18,21.83,20.9,5.13,24.78,54.18,46.59,42.27
2010-01-15,29.65,30.1,36.6,40.72,14.82,10.5,10.4,24.7,18.99,30.32,365.0,37.3,12.44,28.90,16.19,23.4,14.21,37.0,31.95,9.61,12.3,7.64,8.19,36.11,29.14,35.49,26.6,10.96,21.9,8.84,3123.97,10.48,11.95,24.2,38.4,22.62,13.44,32.0,35.39,15.0,67.55,8.05,39.5,35.57,3.86,20.82,1292.5,11.16,21.22,20.9,5.09,24.50,53.78,45.9,42.02
2010-01-18,29.5,29.63,36.29,41.65,14.66,10.52,10.38,24.97,18.98,29.98,367.9,37.9,12.66,28.78,16.3,23.39,14.14,36.11,31.22,9.78,12.19,7.8,8.09,35.91,29.25,34.99,26.7,11.33,21.41,8.75,3090.91,10.2,12.0,24.2,37.85,22.5,13.1,32.0,35.5,15.04,67.95,8.1,40.1,35.9,3.88,20.73,1270.5,11.17,21.39,20.5,5.13,25.24,53.3,46.25,42.36
2010-01-19,29.13,29.7,36.14,41.24,14.19,10.78,10.36,24.11,18.95,29.15,357.4,37.17,12.29,28.65,16.58,22.81,13.65,35.27,30.3,9.55,12.25,7.6,7.96,36.27,28.52,34.46,26.15,11.47,20.9,8.61,3082.64,10.16,11.6,24.07,38.15,22.5,13.0,31.8,34.62,14.53,66.52,7.96,40.5,36.45,3.83,20.85,1263.9,10.8,21.42,20.45,5.17,24.82,53.51,46.5,41.81
2010-01-20,29.51,27.39,33.25,42.1,14.18,10.7,10.8,24.5,18.76,29.7,360.0,37.45,12.35,28.90,16.75,22.8,13.81,39.0,32.09,10.1,12.1,7.5,8.1,37.95,28.54,34.50,26.54,11.45,21.61,8.69,3072.73,10.29,11.62,24.08,37.92,23.89,13.14,31.61,35.2,14.1,67.94,7.86,40.21,35.53,4.0,20.86,1254.0,10.75,21.63,20.59,5.1,25.00,53.91,46.68,41.8
2010-01-21,29.0,26.8,32.83,41.5,14.15,11.08,11.15,24.17,18.11,29.53,362.9,36.84,12.42,28.63,16.52,22.15,13.73,36.98,31.02,10.0,12.0,7.42,7.9,37.4,27.80,33.90,26.05,11.6,22.28,8.53,3026.45,10.09,11.4,24.01,37.22,22.96,13.12,30.84,35.41,14.08,68.18,7.78,39.61,35.58,3.88,20.38,1254.0,10.6,21.5,20.72,5.13,24.45,53.6,45.93,41.67
2010-01-22,27.94,25.88,31.55,40.0,13.85,10.58,10.8,22.7,18.14,29.35,358.6,37.47,12.23,27.12,15.98,21.0,13.48,38.29,31.81,9.86,11.88,7.07,7.6,35.9,26.25,32.10,24.25,11.21,21.5,8.27,2929.75,9.43,10.82,23.99,36.1,22.5,12.31,29.8,34.56,13.8,64.41,7.55,38.15,34.45,3.65,19.17,1205.05,10.47,21.2,20.51,4.95,23.10,51.31,44.5,42.04
2010-01-26,28.0,26.0,31.2,38.86,13.79,10.81,10.18,22.25,18.88,29.16,358.1,36.7,12.41,26.40,15.75,21.15,13.84,42.0,34.65,9.8,12.02,7.0,7.6,34.0,25.84,31.50,23.55,11.0,21.3,8.33,2926.45,9.5,10.65,24.19,35.25,22.06,12.5,29.9,35.01,13.52,63.48,7.58,37.75,34.29,3.6,19.34,1203.4,10.1,20.53,20.32,5.12,23.06,49.75,43.37,41.99
2010-01-27,27.71,26.29,31.8,38.96,13.26,10.59,9.96,23.46,18.98,30.54,362.7,37.66,12.33,26.94,15.5,21.7,13.88,40.39,33.26,9.75,12.03,7.03,7.64,33.2,26.25,32.23,24.2,10.71,20.76,8.44,2995.04,9.36,10.68,24.7,35.11,21.79,12.45,30.29,33.3,13.68,63.14,7.74,37.83,33.9,3.68,19.85,1212.75,10.22,20.11,20.33,5.07,23.40,49.64,42.47,41.75
2010-01-28,27.9,26.4,31.69,38.75,13.45,10.5,10.28,23.5,18.95,30.81,364.1,37.8,12.46,26.95,15.4,22.38,13.73,39.55,33.71,9.71,11.87,7.17,7.6,34.35,26.13,32.11,24.45,10.6,21.59,8.44,2993.39,9.31,10.89,25.08,35.92,22.13,12.55,30.34,35.07,13.56,63.0,7.56,38.5,34.6,3.66,18.96,1229.8,10.2,20.22,20.63,5.04,24.45,49.31,41.59,41.6
2010-01-29,27.71,26.23,31.9,38.69,13.4,10.3,10.29,24.17,19.12,31.2,365.3,38.55,12.1,27.36,14.9,22.3,13.52,39.35,33.55,9.84,11.86,7.15,7.65,35.0,25.87,31.61,24.17,10.4,21.75,8.5,3067.77,9.39,10.48,25.29,35.57,22.3,12.01,30.0,34.6,13.48,62.99,7.32,38.99,34.97,3.66,18.57,1237.5,10.42,20.0,20.49,5.1,24.64,49.13,42.4,41.61
2010-02-01,28.36,25.7,31.67,39.03,13.35,10.22,10.04,23.6,18.75,31.4,363.0,38.54,12.14,27.78,14.2,21.81,13.45,29.75,33.55,9.94,11.78,7.5,7.65,34.03,25.57,31.50,23.33,10.5,21.71,8.5,2999.17,9.4,10.65,25.01,36.11,23.29,12.11,30.19,34.12,13.2,63.3,7.5,38.49,34.29,3.82,19.26,1236.95,10.45,20.52,20.33,4.98,24.90,49.39,42.49,41.31
2010-02-02,30.17,26.16,32.2,40.16,13.52,10.3,10.25,24.11,18.82,31.2,370.7,38.75,12.43,28.35,15.1,22.8,13.68,28.77,33.53,9.72,11.87,7.7,7.58,35.5,26.45,32.24,23.5,10.86,22.69,8.66,3081.82,9.57,10.8,25.19,36.65,22.94,12.5,30.17,34.46,13.05,63.32,7.82,38.7,34.51,3.92,19.62,1217.15,10.67,20.75,20.31,5.1,25.40,51.17,43.9,41.57
2010-02-03,30.05,26.28,32.23,39.8,13.4,10.5,10.08,24.37,18.88,30.57,368.0,38.3,12.6,28.49,15.0,23.04,14.26,28.68,33.0,9.68,11.71,7.73,7.44,35.5,26.65,32.71,24.94,11.09,23.6,8.69,3064.46,9.42,11.03,25.0,36.69,23.41,12.94,30.0,34.89,13.15,64.75,7.75,38.34,34.05,4.08,19.51,1210.55,10.67,20.1,20.0,5.2,25.16,50.46,43.66,41.19
2010-02-04,29.6,26.28,32.05,39.4,13.23,10.68,10.0,24.75,19.46,30.17,363.9,37.95,12.69,28.20,14.9,22.62,14.01,27.31,31.58,9.9,11.66,7.5,7.3,35.0,26.25,32.10,24.0,11.37,23.95,8.61,3033.06,9.5,11.2,25.3,38.38,23.3,12.53,31.0,34.84,13.4,63.61,7.59,37.94,33.84,3.95,19.1,1233.1,10.67,20.24,19.95,5.09,24.89,49.62,43.0,41.2
2010-02-05,28.86,25.49,30.79,37.45,12.8,10.26,9.68,23.75,18.5,29.0,362.0,37.13,12.3,27.00,13.57,21.2,13.06,24.66,29.2,9.32,11.53,6.97,6.7,32.64,24.78,30.57,22.24,10.8,23.01,8.23,2919.83,9.1,10.4,24.82,36.9,21.97,11.5,30.05,33.5,12.9,59.6,7.12,36.19,31.8,3.75,17.62,1127.5,10.14,19.4,19.33,4.88,23.70,47.09,40.51,40.95
2010-02-08,27.71,24.9,30.2,36.98,13.0,10.46,9.63,24.15,18.3,29.86,357.5,37.25,12.12,27.15,14.21,21.22,13.07,24.58,29.61,9.52,11.33,7.0,6.65,32.85,24.75,30.41,23.34,11.05,22.45,8.13,2883.47,9.12,10.21,24.86,37.01,21.59,12.01,29.85,33.49,12.95,60.99,7.32,36.03,31.8,3.76,18.1,1119.8,10.13,19.28,19.6,4.75,24.00,47.57,41.16,40.31
2010-02-09,28.6,24.86,30.4,38.0,13.42,10.74,9.58,25.25,17.75,30.19,370.1,37.53,12.72,27.50,14.49,21.67,13.48,24.36,30.05,9.75,11.58,6.84,6.8,35.09,24.75,30.10,23.67,11.08,21.94,8.24,2950.41,8.98,10.0,25.69,37.4,21.6,12.42,31.23,33.6,13.03,62.0,7.46,36.6,32.2,3.9,17.94,1153.9,10.34,19.44,19.83,4.88,23.88,48.2,41.81,40.28
2010-02-10,30.05,25.31,31.2,38.5,13.18,11.08,9.59,24.87,17.89,30.14,365.8,38.4,12.4,28.28,15.0,22.29,13.8,24.78,29.91,9.73,11.46,7.0,7.18,35.6,25.01,30.55,24.95,11.37,23.21,8.56,3005.79,9.11,10.4,26.1,37.01,21.94,12.84,31.71,33.52,13.11,63.55,7.96,36.65,32.45,3.9,18.42,1167.1,10.6,20.16,19.72,5.06,23.79,48.75,42.5,40.5
2010-02-11,30.16,25.67,31.4,38.2,13.02,11.0,9.41,23.5,17.62,30.2,375.0,39.1,12.34,28.26,15.15,22.64,13.64,24.7,30.24,9.86,11.79,6.93,7.25,35.45,25.07,30.20,25.1,11.17,22.06,8.47,3012.4,9.29,10.17,26.5,37.59,22.2,12.82,30.6,33.38,13.06,64.32,8.0,37.61,32.89,3.99,18.98,1182.5,10.46,19.48,19.6,4.93,23.50,48.05,41.48,40.4
2010-02-12,30.69,25.5,31.5,37.82,13.27,11.12,9.57,23.45,17.62,30.69,369.1,39.69,12.28,28.70,15.0,22.78,13.97,24.7,29.95,9.95,11.97,6.89,7.25,36.01,25.75,31.67,24.85,11.26,22.08,8.53,3024.79,9.21,10.4,26.38,37.65,22.01,13.27,30.5,33.5,13.16,63.7,8.18,37.27,33.28,4.0,19.57,1198.45,10.34,19.82,20.18,5.14,23.42,49.15,42.6,40.91
2010-02-17,30.9,25.96,32.02,39.01,13.14,11.25,9.52,23.85,17.75,30.9,384.0,39.74,12.49,29.00,15.0,22.9,14.05,24.74,30.11,10.12,12.03,7.0,7.1,36.89,26.51,32.47,25.4,11.16,21.5,8.72,3097.52,9.28,10.54,26.31,36.8,22.75,13.38,30.67,33.89,13.25,64.5,8.24,38.55,34.16,4.09,19.81,1210.0,10.55,21.0,20.42,5.22,23.75,51.47,44.2,40.29
2010-02-18,30.43,26.37,32.4,39.46,13.16,11.28,9.42,23.4,17.4,30.72,380.1,39.79,12.65,29.38,15.5,23.63,14.4,24.79,30.35,9.94,12.03,7.3,7.2,36.99,26.30,32.15,25.33,10.85,21.88,8.73,3106.61,9.3,10.66,26.74,37.0,22.75,13.32,29.78,34.21,13.01,65.0,8.42,38.22,34.24,4.2,19.61,1221.0,10.63,20.9,20.67,5.19,24.22,51.21,44.3,40.36
2010-02-19,30.39,26.2,32.15,40.15,13.13,11.23,9.5,23.07,17.86,30.55,385.2,38.76,12.68,29.50,15.78,23.7,14.21,25.07,30.7,10.0,11.92,7.17,7.05,36.8,26.03,32.50,25.05,10.73,22.3,8.78,3115.7,9.53,10.52,26.83,36.9,21.87,13.38,29.8,34.24,12.86,65.19,8.47,38.32,34.42,4.18,19.52,1210.55,10.65,20.8,20.78,5.12,24.40,51.6,44.95,40.49
2010-02-22,30.85,26.11,32.1,41.1,13.14,11.34,9.92,23.0,17.88,30.23,378.8,38.68,12.8,29.70,15.06,24.19,14.87,24.65,29.87,10.0,11.81,7.33,7.24,37.46,26.20,32.63,24.84,10.99,23.02,8.77,3083.47,9.6,10.68,26.5,37.27,21.74,13.46,29.8,34.45,12.79,65.64,8.52,38.89,34.5,4.22,19.52,1209.45,10.8,20.98,21.0,5.23,24.90,52.35,45.28,39.92
2010-02-23,30.31,25.55,31.5,40.04,13.45,11.3,9.62,23.41,17.8,29.68,376.8,37.77,12.8,28.70,15.2,23.61,14.07,23.9,29.27,10.0,11.76,7.33,7.21,37.15,25.87,32.35,24.27,11.0,22.0,8.54,3005.79,9.44,10.7,26.41,38.95,21.56,13.17,29.67,34.48,12.79,62.88,8.15,38.57,34.41,4.14,19.12,1209.45,10.49,20.8,20.85,5.0,24.45,50.76,44.15,39.76
2010-02-24,30.11,25.14,31.0,39.6,12.84,11.22,9.48,23.5,17.81,29.46,380.9,37.33,12.8,28.81,15.0,23.31,14.55,23.5,28.05,9.98,11.67,7.34,7.23,36.7,25.50,32.21,24.44,11.08,21.56,8.51,2975.21,9.4,10.73,26.39,39.87,21.15,12.76,29.4,34.7,12.78,61.85,8.05,38.31,34.29,4.04,18.44,1178.1,10.52,20.17,20.85,5.07,24.25,50.39,44.0,39.99
2010-02-25,29.85,24.73,30.5,38.9,12.6,10.94,9.4,23.25,17.6,28.95,366.0,36.57,12.68,28.08,15.02,22.54,14.17,23.0,27.93,9.77,11.5,7.4,7.1,35.05,25.00,30.97,23.39,10.96,21.0,8.27,2892.56,9.3,10.15,26.05,38.58,21.22,12.52,29.11,34.0,12.45,60.66,7.82,37.49,33.48,3.92,18.48,1160.5,10.14,19.56,20.79,5.03,23.38,49.69,43.45,39.4
2010-02-26,29.79,24.95,30.86,39.52,12.95,11.26,9.38,23.26,17.51,29.84,368.8,37.57,12.8,29.50,15.1,22.79,14.35,23.8,29.0,9.77,11.75,7.4,7.25,35.03,26.31,33.15,23.58,10.75,21.55,8.41,2950.41,9.47,10.34,26.52,38.5,20.9,13.2,29.68,34.0,12.56,61.76,7.95,38.4,34.59,4.1,18.39,1166.0,10.22,19.15,20.9,5.18,25.00,50.71,44.65,39.85
2010-03-01,29.89,25.49,31.35,39.91,12.92,11.64,9.48,23.53,17.66,29.86,373.7,37.18,12.47,29.92,14.34,22.9,14.44,23.74,29.0,9.92,11.75,7.33,7.49,33.66,26.65,33.24,24.8,10.67,21.49,8.75,3037.19,9.25,10.47,26.65,39.49,21.05,13.26,31.01,33.89,12.49,61.5,8.2,38.82,34.82,4.0,18.81,1174.25,10.21,18.91,20.56,5.11,25.75,50.8,44.88,39.4
2010-03-02,30.04,25.59,31.63,39.67,12.99,11.55,9.56,23.8,18.06,29.91,383.1,37.5,12.5,30.22,14.25,22.85,14.44,24.61,29.61,9.85,11.87,7.34,7.7,33.69,27.42,33.87,25.43,10.79,21.35,8.72,3048.76,9.18,10.74,26.87,40.75,21.85,13.35,31.89,33.68,12.36,61.76,8.5,39.47,35.34,4.02,19.56,1169.85,10.24,19.45,20.46,5.12,26.12,51.48,44.97,39.49
2010-03-03,29.71,26.08,32.0,40.3,13.2,11.57,9.58,24.11,18.44,29.8,384.8,37.99,12.68,30.15,14.35,22.8,14.36,24.86,30.56,10.02,11.86,7.27,7.41,35.56,27.10,33.66,24.97,10.7,21.72,8.63,3084.3,9.23,10.84,26.32,42.02,21.88,13.33,31.0,34.39,12.42,63.15,8.5,39.42,35.48,4.12,19.7,1163.8,10.34,20.55,20.19,5.18,26.00,52.41,45.77,39.51
2010-03-04,29.57,25.71,31.85,40.3,12.99,11.44,9.32,23.79,18.19,30.45,381.1,38.1,12.38,30.35,14.1,22.94,14.42,24.19,29.45,10.05,11.75,7.04,7.35,35.84,27.00,33.60,24.4,11.13,21.4,8.82,3090.91,9.46,10.63,26.1,40.5,22.13,13.29,30.83,34.97,12.56,63.99,8.28,39.7,35.39,4.02,19.3,1171.5,10.25,21.46,20.67,5.24,25.88,52.26,45.63,39.46
2010-03-05,29.7,26.0,32.15,41.39,13.19,11.28,9.68,23.5,18.58,30.64,382.2,38.45,12.53,30.60,13.8,23.0,14.59,24.59,30.49,10.13,11.75,7.06,7.27,35.89,27.10,34.20,24.57,11.34,21.44,8.78,3107.44,9.7,10.8,26.39,41.47,22.3,12.86,30.0,35.16,12.7,62.3,8.18,39.6,35.69,4.05,19.1,1193.5,10.36,21.51,20.59,5.32,26.61,53.25,46.69,39.38
2010-03-08,29.94,25.95,32.0,42.4,12.91,11.02,9.74,23.69,18.5,30.5,381.1,38.44,12.36,31.35,13.84,22.48,14.32,24.73,30.5,9.98,11.67,7.17,7.33,36.19,27.23,34.05,24.15,11.1,21.87,8.79,3071.9,9.7,10.68,26.39,40.56,21.5,13.09,29.28,35.2,12.66,60.86,8.08,40.01,35.83,3.96,18.86,1201.2,10.53,22.22,20.39,5.34,27.18,54.35,47.45,39.35
2010-03-09,29.29,25.7,31.46,42.0,12.66,11.05,9.35,23.5,18.44,30.11,358.9,37.48,12.31,31.95,13.12,21.9,14.05,24.5,30.3,9.97,11.6,6.96,7.2,35.25,27.15,34.20,23.47,11.23,22.4,8.71,3065.29,9.6,10.52,25.96,42.11,21.3,12.69,29.36,33.68,12.2,59.6,7.9,39.7,35.5,3.93,18.81,1214.4,10.29,21.75,20.23,5.22,27.12,53.55,46.87,38.85
2010-03-10,30.0,25.94,31.96,43.25,12.68,11.4,9.71,24.1,18.66,30.5,363.0,38.75,12.5,34.00,13.1,22.05,14.13,25.69,31.69,10.26,11.68,6.92,7.15,35.5,27.88,35.40,24.1,11.56,21.71,9.03,3140.5,9.63,10.7,26.8,42.49,20.87,13.01,29.55,34.3,12.55,60.51,8.2,40.95,37.06,3.95,19.18,1205.6,10.51,22.66,20.49,5.37,28.49,54.55,47.8,39.5
2010-03-11,30.0,25.92,31.85,41.84,12.86,11.5,9.85,24.19,18.69,30.5,361.0,38.1,12.8,33.56,13.48,22.3,14.23,25.86,31.99,10.21,11.67,6.97,7.0,35.5,27.64,35.00,24.24,11.38,22.01,8.9,3110.74,9.29,10.72,26.7,41.95,21.16,13.6,29.25,34.39,13.16,61.0,8.44,41.18,36.93,3.92,18.87,1213.3,10.53,21.82,20.64,5.39,28.30,53.35,46.8,40.4
2010-03-12,30.43,26.03,32.33,41.74,13.47,11.68,9.96,24.22,19.0,30.35,363.7,38.6,13.07,34.24,13.84,22.98,14.13,25.6,31.72,10.44,11.63,6.95,7.0,36.32,27.89,34.99,25.0,11.6,22.29,8.99,3171.9,9.24,11.19,27.35,42.98,21.38,13.61,29.99,35.0,13.16,61.64,8.48,41.5,37.2,3.87,18.95,1206.15,10.63,22.22,20.77,5.42,28.60,53.39,46.85,40.4
2010-03-15,29.85,25.71,31.67,40.75,13.29,11.62,9.98,23.81,18.12,30.3,357.1,37.76,12.73,33.80,13.89,22.42,13.9,25.1,30.75,10.09,11.51,6.92,6.92,37.0,27.33,33.96,23.9,11.55,21.82,8.75,3075.21,8.78,11.03,26.7,40.75,20.8,13.25,30.29,33.8,12.76,60.52,8.26,41.17,36.77,3.88,18.86,1183.05,10.22,21.75,20.56,5.18,27.60,52.35,46.65,39.71
2010-03-16,30.01,25.81,31.65,41.7,13.05,11.52,10.01,23.95,17.92,29.95,360.0,37.8,12.68,34.05,13.84,22.4,14.12,25.85,31.45,10.07,11.51,6.9,6.8,37.2,27.35,34.20,23.65,11.58,22.32,8.87,3109.09,8.73,10.65,27.06,39.48,21.09,13.21,30.06,34.21,12.66,60.89,8.2,41.3,36.93,3.82,18.67,1175.9,10.29,21.65,20.56,5.17,27.97,53.38,47.1,39.7
2010-03-17,30.4,26.08,32.25,42.6,13.33,11.22,10.0,24.5,18.44,30.1,365.3,37.72,12.6,34.50,14.28,22.55,13.92,26.49,32.69,10.35,11.58,6.86,6.8,37.4,28.15,35.20,23.7,11.52,22.75,9.02,3146.28,8.69,10.9,27.54,41.49,21.33,13.3,30.15,34.7,13.05,60.28,8.38,41.79,37.26,3.9,18.6,1173.15,10.51,21.65,20.5,5.28,28.79,54.6,48.09,39.61
2010-03-18,29.98,25.89,31.75,42.2,13.21,10.95,9.86,24.35,18.38,30.34,369.8,38.28,12.76,33.95,14.4,22.13,13.7,26.9,33.5,10.29,11.6,7.2,6.74,39.5,27.99,34.98,23.22,11.61,22.47,8.84,3113.22,8.25,10.76,27.5,40.68,21.46,13.4,29.66,35.33,12.88,60.01,8.22,41.43,37.14,3.93,18.67,1175.9,10.35,23.08,20.58,5.25,28.32,54.3,47.71,39.4
2010-03-19,29.81,25.8,31.95,42.65,13.47,11.11,10.01,24.23,19.82,29.78,365.3,38.0,12.91,33.75,14.7,22.29,13.81,27.15,33.67,10.35,11.6,7.32,6.8,40.18,27.91,34.70,23.0,11.6,22.09,8.88,3090.08,8.3,10.84,27.45,40.56,22.01,13.85,29.67,35.0,12.82,59.7,8.28,41.36,37.0,3.95,18.62,1190.75,10.57,24.01,20.47,5.2,28.10,53.95,47.5,39.73
2010-03-22,29.38,25.35,31.22,41.0,13.1,10.82,9.8,23.5,20.5,29.11,360.6,37.15,12.3,32.80,15.05,21.76,13.56,26.8,33.11,10.8,11.53,7.52,6.72,38.69,26.85,33.33,22.0,11.53,22.3,8.66,3028.93,7.79,10.55,27.6,39.91,21.01,13.14,29.54,35.29,12.57,58.55,8.1,40.0,35.61,3.8,18.48,1198.45,10.39,23.75,20.4,5.02,27.39,52.79,46.44,39.07
2010-03-23,29.7,25.75,31.89,43.15,13.33,11.11,9.99,23.76,21.12,29.6,370.0,37.25,12.24,33.68,15.35,22.15,13.57,26.33,32.47,10.75,11.69,7.5,7.12,38.84,27.11,33.65,22.53,11.6,22.18,8.86,3114.88,8.22,10.49,27.3,40.8,20.7,13.75,30.0,35.75,12.62,59.05,8.32,40.58,36.38,3.78,18.29,1193.5,10.4,23.5,20.38,5.01,27.65,55.11,48.25,39.0
2010-03-24,29.21,25.09,30.95,42.98,13.0,11.2,9.99,23.6,20.76,29.57,362.8,37.22,12.18,34.16,15.33,21.51,13.18,26.0,32.15,10.71,11.48,7.5,7.07,39.5,26.79,33.43,22.19,11.5,21.87,8.7,3052.89,8.09,10.4,27.17,41.0,19.86,13.4,30.33,35.2,12.5,58.89,8.15,39.8,36.12,3.78,18.45,1174.25,10.25,23.79,20.0,4.94,27.76,55.36,48.28,38.98
2010-03-25,29.57,25.11,31.08,43.45,13.15,10.9,10.12,23.05,21.19,30.0,364.0,37.4,12.33,34.77,15.2,21.73,13.13,25.8,32.01,10.74,11.44,7.47,6.97,39.02,27.01,33.48,22.43,11.6,21.3,8.66,3033.06,8.13,10.32,25.02,40.65,19.5,13.41,28.79,35.17,11.95,59.15,8.08,40.49,36.33,3.8,18.22,1160.5,10.33,23.8,20.05,4.94,28.49,56.2,48.79,38.49
2010-03-26,29.38,25.18,31.25,42.54,12.99,10.7,9.9,22.15,20.72,29.76,359.9,36.6,12.34,34.65,15.2,21.77,13.03,25.59,31.64,10.64,11.62,7.53,6.77,37.5,26.50,32.98,22.3,11.63,20.7,8.63,3042.15,7.92,10.32,24.55,40.63,19.49,13.5,29.02,35.32,11.55,58.79,8.13,39.73,35.43,3.92,18.29,1155.0,10.3,23.22,20.25,4.92,28.34,55.65,48.4,37.73
2010-03-29,29.66,25.49,31.59,42.78,12.96,10.56,10.06,22.5,20.62,29.84,361.9,37.0,12.39,35.00,14.65,21.29,12.89,26.18,32.21,10.64,11.59,7.35,6.67,38.57,27.59,33.93,22.3,11.6,20.86,8.79,3099.17,7.59,10.32,24.95,40.18,19.65,13.4,28.99,36.25,11.41,58.7,8.16,39.5,34.74,4.04,18.24,1158.3,10.33,24.2,20.23,4.95,28.61,56.39,48.93,38.38
